Identifiant,"Date (AAAA/MM/JJ)",Heure,Nom,"Région épicentrale",Choc,"X RGF93/L93","Y RGF93/L93","Latitude en WGS 84","Longitude en WGS 84","Intensité épicentrale","Qualité intensité épicentrale"
40113,1959/04/11,"22 h 32 min","UBAYE (ST-PAUL)","ALPES PROVENCALES",REPLIQUE,997935.21,6386809.36,44.52,6.75,,
40173,1959/04/16,"20 h 30 min","UBAYE (ST-PAUL)","ALPES PROVENCALES",REPLIQUE,997935.21,6386809.36,44.52,6.75,,
1130329,1959/04/17,"0 h","PIEMONT (VERCELLI)",ITALIE,,1083148.78,6510135.01,45.58,7.92,,
40114,1959/04/18,"15 h 42 min","UBAYE (ST-PAUL)","ALPES PROVENCALES",REPLIQUE,997935.21,6386809.36,44.52,6.75,,
40115,1959/04/19,"21 h 28 min","UBAYE (ST-PAUL)","ALPES PROVENCALES",REPLIQUE,995027.56,6392232.13,44.57,6.72,4,"ASSEZ SURE"
40116,1959/04/22,"20 h 34 min","UBAYE (ST-PAUL)","ALPES PROVENCALES",REPLIQUE,997935.21,6386809.36,44.52,6.75,,
40117,1959/04/24,"17 h 48 min","UBAYE (ST-PAUL)","ALPES PROVENCALES",REPLIQUE,1000492.81,6388784.88,44.53,6.78,,
40167,1959/04/26,"22 h","UBAYE (ST-PAUL)","ALPES PROVENCALES",REPLIQUE,992124.47,6397656.11,44.62,6.68,,
650486,1959/04/26,"4 h 6 min","BIGORRE (NESTIER)","PYRENEES CENTRALES",,494876.19,6221865.43,43.07,0.48,3,"INFORMATION ISOLÉE"
40168,1959/04/27,"2 h","UBAYE (ST-PAUL)","ALPES PROVENCALES",REPLIQUE,992124.47,6397656.11,44.62,6.68,,
40169,1959/04/27,"5 h","UBAYE (ST-PAUL)","ALPES PROVENCALES",REPLIQUE,992124.47,6397656.11,44.62,6.68,,
1130331,1959/05/19,"21 h","RIVIERA DI LEVANTE (LA SPEZIA)",ITALIE,,1232199.09,6367034.05,44.20,9.67,2,"INFORMATION ISOLÉE"
40118,1959/06/06,"22 h 43 min","UBAYE (ST-PAUL)","ALPES PROVENCALES",REPLIQUE,997935.21,6386809.36,44.52,6.75,,
40119,1959/06/09,"8 h 56 min","UBAYE (ST-PAUL)","ALPES PROVENCALES",REPLIQUE,997935.21,6386809.36,44.52,6.75,,
40208,1959/07/16,"23 h 45 min","UBAYE (ST-PAUL)","ALPES PROVENCALES",REPLIQUE,989268.87,6373429.59,44.40,6.63,4.5,"INFORMATION ISOLÉE"
40120,1959/07/17,"13 h 16 min","UBAYE (ST-PAUL)","ALPES PROVENCALES",REPLIQUE,995201.78,6388533.41,44.53,6.72,5,"ASSEZ SURE"
40209,1959/07/17,"3 h","UBAYE (ST-PAUL)","ALPES PROVENCALES",REPLIQUE,989268.87,6373429.59,44.40,6.63,4.5,"INFORMATION ISOLÉE"
50088,1959/07/19,"21 h 30 min","EMBRUNAIS (EMBRUN)","ALPES DAUPHINOISES",,977840.23,6391446.17,44.57,6.50,3.5,"INFORMATION ISOLÉE"
730178,1959/08/10,"14 h 57 min 55 sec","TARENTAISE (DOUCY-MOUTIERS)","ALPES SAVOYARDES",,973329.01,6493155.93,45.48,6.50,4.5,"ASSEZ SURE"
670106,1959/09/04,"8 h 36 min 53 sec","PLAINE DE BASSE-ALSACE (ERSTEIN)",ALSACE,,1046551.01,6819506.09,48.38,7.68,6,SURE
850038,1959/09/24,"5 h 36 min","ILE DE NOIRMOUTIER","PAYS NANTAIS ET VENDEEN",,299580.14,6680038.90,47.10,-2.28,4,INCERTAINE
380064,1959/09/30,"16 h 50 min","BAS-PLATEAUX DAUPHINOIS (LE GRAND-LEMPS)",DAUPHINE,,889212.65,6475185.71,45.35,5.42,4.5,"ASSEZ SURE"
290033,1959/10/04,"22 h 10 min","PAYS DE BREST (BREST)",BRETAGNE,,139569.88,6838010.29,48.40,-4.58,,
640350,1959/10/29,"2 h 30 min","OSSAU (LOUVIE-JUZON)","PYRENEES OCCIDENTALES",,421640.56,6226472.52,43.08,-0.42,4,"INFORMATION ISOLÉE"
640351,1959/10/30,"21 h 20 min","BEARN (OLORON-SAINTE-MARIE)","PYRENEES OCCIDENTALES",,410951.53,6230654.12,43.12,-0.55,5,INCERTAINE
640352,1959/10/30,"22 h 10 min","OSSAU (ARUDY)","PYRENEES OCCIDENTALES",,414937.84,6228621.14,43.10,-0.50,5,"ASSEZ SURE"
1130083,1959/11/04,"5 h 3 min 25 sec","PIEMONT (DRONERO)",ITALIE,,1045865.77,6383708.37,44.47,7.35,5,"ASSEZ SURE"
10031,1959/11/11,"3 h 24 min 8 sec","BUGEY (BELLEY)","BRESSE ET JURA BRESSAN",,909869.36,6520299.67,45.75,5.70,4.5,"ASSEZ SURE"
650384,1959/11/14,"17 h","BIGORRE (LOURDES)","PYRENEES CENTRALES",,452854.85,6225196.95,43.08,-0.03,3,INCERTAINE
130084,1959/11/19,"21 h 21 min","BASSIN D'AIX-EN-PROVENCE (SIMIANE-COLLONGUE)",PROVENCE,,897077.83,6262395.15,43.43,5.43,4.5,"ASSEZ SURE"
130110,1959/11/20,"9 h 10 min","BASSIN D'AIX-EN-PROVENCE (AIX-EN-PROVENCE)",PROVENCE,REPLIQUE,898082.47,6273546.49,43.53,5.45,3,"INFORMATION ISOLÉE"
60092,1959/12/10,,"ALPES NICOISES (CONTES ET PEILLE)","ALPES MARITIMES","GROUPE DE SECOUSSES D UN ESSAIM",1052622.96,6309899.22,43.80,7.38,,
60093,1959/12/13,"22 h 26 min 59 sec","ALPES NICOISES (CONTES ET PEILLE)","ALPES MARITIMES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",1053962.37,6309973.79,43.80,7.40,5,"ASSEZ SURE"
230024,1959/12/14,"4 h 48 min 14 sec","HAUTE-MARCHE (AZERABLES)",LIMOUSIN,,588670.16,6593618.51,46.43,1.55,3.5,"ASSEZ SURE"
1130084,1959/12/21,"22 h 35 min 3 sec","RIVIERA DI PONENTE (VINTIMILLE)",ITALIE,,1065696.15,6316204.61,43.85,7.55,5,"ASSEZ SURE"
60094,1959/12/22,"13 h 13 min","ALPES NICOISES (CONTES ET PEILLE)","ALPES MARITIMES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",1048604.71,6309677.21,43.80,7.33,4,"ASSEZ SURE"
210028,1959/12/23,"19 h 21 min","AUXOIS (NANS-SOUS-THIL)",BOURGOGNE,,805719.10,6693493.33,47.33,4.40,4,"ASSEZ SURE"
40121,1960/01/28,"14 h 34 min 19 sec","UBAYE (ST-PAUL)","ALPES PROVENCALES",REPLIQUE,996437.02,6390445.20,44.55,6.73,5,"ASSEZ SURE"
60095,1960/02/21,"11 h 22 min","ALPES NICOISES (CONTES ET PEILLE)","ALPES MARITIMES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",1048503.12,6311526.54,43.82,7.33,2,"INFORMATION ISOLÉE"
60096,1960/02/21,"11 h 24 min","ALPES NICOISES (CONTES ET PEILLE)","ALPES MARITIMES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",1048503.12,6311526.54,43.82,7.33,2,"INFORMATION ISOLÉE"
60097,1960/03/03,"18 h 58 min","ALPES NICOISES (CONTES ET PEILLE)","ALPES MARITIMES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",1048503.12,6311526.54,43.82,7.33,2,"INFORMATION ISOLÉE"
1120038,1960/03/23,"23 h 8 min 50 sec","VALAIS (BRIG)",SUISSE,,1084480.92,6591817.10,46.32,8.00,7,"ASSEZ SURE"
40122,1960/05/08,"17 h 30 min","UBAYE (ST-PAUL)","ALPES PROVENCALES",REPLIQUE,997759.43,6390507.91,44.55,6.75,4,"ASSEZ SURE"
650385,1960/05/13,"2 h 15 min 52 sec","BIGORRE (PIC DU MIDI)","PYRENEES CENTRALES",,472627.36,6207778.38,42.93,0.22,4,"ASSEZ SURE"
670107,1960/05/13,"3 h 55 min 34 sec","VOSGES ALSACIENNES (CHAMP-DU-FEU)",ALSACE,,1020374.39,6823576.66,48.43,7.33,5,SURE
670108,1960/05/23,"1 h 8 min 25 sec","VOSGES ALSACIENNES (CHAMP-DU-FEU)",ALSACE,REPLIQUE,1016882.29,6819675.30,48.40,7.28,5,SURE
670109,1960/05/23,"13 h 19 min 2 sec","VOSGES ALSACIENNES (CHAMP-DU-FEU)",ALSACE,REPLIQUE,1016882.29,6819675.30,48.40,7.28,,
680086,1960/06/19,"3 h 35 min 14 sec","SUNDGAU (JETTINGEN)",ALSACE,,1029307.91,6729470.99,47.58,7.38,5,SURE
680113,1960/06/19,"5 h","SUNDGAU (ROMAGNY)",ALSACE,,1005348.87,6731896.40,47.62,7.07,,
680114,1960/06/19,"1 h 40 min","SUNDGAU (BOUXWILLER)",ALSACE,PRECURSEUR,1027315.98,6720088.78,47.50,7.35,,
10032,1960/07/12,"0 h 46 min 47 sec","BUGEY (NANTUA)","BRESSE ET JURA BRESSAN",,898125.74,6562500.88,46.13,5.57,5,"ASSEZ SURE"
650386,1960/08/05,"5 h 21 min 35 sec","LAVEDAN (ARGELES-GAZOST)","PYRENEES CENTRALES",,447134.89,6218001.20,43.02,-0.10,5,"ASSEZ SURE"
40123,1960/10/12,"2 h 46 min 21 sec","HAUT-VERDON (CASTELLANE)","ALPES PROVENCALES",,983797.67,6317572.20,43.90,6.53,3.5,"ASSEZ SURE"
650387,1960/10/24,"22 h 6 min","BIGORRE (PIC DU MIDI)","PYRENEES CENTRALES",,475284.72,6205830.85,42.92,0.25,4,"ASSEZ SURE"
650438,1960/11/21,"0 h 50 min","BIGORRE (CAPVERN ?)","PYRENEES CENTRALES",,477351.61,6226156.37,43.10,0.27,4,INCERTAINE
50074,1960/12/05,"19 h 30 min","EMBRUNAIS (VARS)","ALPES DAUPHINOISES",PRECURSEUR,988076.64,6399321.67,44.63,6.63,3.5,ARBITRAIRE
50075,1960/12/06,"1 h 26 min 22 sec","EMBRUNAIS (VARS)","ALPES DAUPHINOISES",,988076.64,6399321.67,44.63,6.63,5,"ASSEZ SURE"
650388,1961/01/15,"4 h 27 min","LAVEDAN (SALLES)","PYRENEES CENTRALES",,447280.36,6221704.60,43.05,-0.10,4,"ASSEZ SURE"
130085,1961/02/23,"20 h 45 min 59 sec","BASSIN D'AIX-EN-PROVENCE (GARDANNE)",PROVENCE,,902416.83,6264415.48,43.45,5.50,4.5,"ASSEZ SURE"
380065,1961/03/03,"0 h 52 min 27 sec","BELLEDONNE (URIAGE)",DAUPHINE,,922685.72,6452222.97,45.13,5.83,5,"ASSEZ SURE"
650389,1961/03/29,"3 h 54 min","BIGORRE (BOO-SILHEN ?)","PYRENEES CENTRALES",,449924.42,6219746.72,43.03,-0.07,,
40124,1961/04/28,"4 h 38 min 33 sec","QUEYRAS (CEILLAC)","ALPES DAUPHINOISES",,999783.45,6403578.61,44.67,6.78,3,"INFORMATION ISOLÉE"
1110020,1961/04/28,"20 h 48 min 49 sec","FORET NOIRE (LORRACH)",ALLEMAGNE,,1068289.87,6748463.12,47.73,7.92,5.5,INCERTAINE
670110,1961/05/02,"7 h 56 min 34 sec","PLAINE DE BASSE-ALSACE (GERSTHEIM)",ALSACE,,1047782.86,6819579.36,48.38,7.70,4,INCERTAINE
670111,1961/05/02,"20 h 40 min","PLAINE DE BASSE-ALSACE (SEMMERSHEIM)",ALSACE,,1041948.35,6813667.60,48.33,7.62,4,INCERTAINE
840077,1961/06/08,"7 h 26 min 54 sec","BASSE-DURANCE (BEAUMONT-DE-PERTUIS)",VAUCLUSE,,913438.65,6298134.87,43.75,5.65,4.5,"ASSEZ SURE"
880032,1961/07/22,"22 h 4 min 45 sec","VOSGES COMTOISES (LE VAL-D'AJOL)",VOSGES,,962349.79,6768762.66,47.97,6.52,4,"ASSEZ SURE"
30023,1961/10/17,"2 h 30 min 57 sec","HAUTE-MARCHE (MONTLUCON)",BOURBONNAIS,,687175.39,6579653.66,46.32,2.83,5,"ASSEZ SURE"
730179,1961/10/26,"16 h 59 min 39 sec","CHAUTAGNE (CHINDRIEUX)","ALPES SAVOYARDES",,922617.22,6526305.19,45.80,5.87,4,"ASSEZ SURE"
170078,1962/02/02,"3 h 26 min 4 sec","SAINTONGE (ST-JEAN-D'ANGELY)",CHARENTES,,437184.29,6555685.47,46.05,-0.40,5,SURE
610012,1962/02/18,"5 h 43 min 35 sec","BOCAGE NORMAND (LANDISACQ)",NORMANDIE,,433042.86,6857983.48,48.77,-0.63,5,SURE
180022,1962/03/07,"1 h 25 min 33 sec","CHAMPAGNE BERRICHONNE (LES AIX-D'ANGILLON)",BERRY,,668466.07,6679680.00,47.22,2.58,3.5,"ASSEZ SURE"
350038,1962/03/14,"20 h 54 min 50 sec","PAYS DE REDON (LA CHAPELLE-SAINT-MELAINE)",BRETAGNE,,327736.94,6745001.41,47.70,-1.97,5,"ASSEZ SURE"
380066,1962/04/12,"13 h 38 min 5 sec","VERCORS (CORRENCON-EN-VERCORS)",DAUPHINE,PRECURSEUR,902095.83,6440405.94,45.03,5.57,5,SURE
380067,1962/04/12,"20 h 12 min 0 sec","VERCORS (CORRENCON-EN-VERCORS)",DAUPHINE,PRECURSEUR,902095.83,6440405.94,45.03,5.57,4.5,"ASSEZ SURE"
380068,1962/04/12,"20 h 18 min 26 sec","VERCORS (CORRENCON-EN-VERCORS)",DAUPHINE,PRECURSEUR,902095.83,6440405.94,45.03,5.57,,
380069,1962/04/23,"0 h 33 min 25 sec","VERCORS (CORRENCON-EN-VERCORS)",DAUPHINE,PRECURSEUR,902095.83,6440405.94,45.03,5.57,,
380070,1962/04/25,"4 h 44 min 48 sec","VERCORS (CORRENCON-EN-VERCORS)",DAUPHINE,,902095.83,6440405.94,45.03,5.57,7.5,SURE
380071,1962/04/27,"4 h 17 min 43 sec","VERCORS (CORRENCON-EN-VERCORS)",DAUPHINE,REPLIQUE,902216.14,6436705.78,45.00,5.57,5,"ASSEZ SURE"
740090,1962/05/12,"19 h 21 min 27 sec","GENEVOIS (SERRAVAL)","ALPES SAVOYARDES",,961424.02,6527837.70,45.80,6.37,3.5,"ASSEZ SURE"
380072,1962/05/28,"16 h 21 min 27 sec","VERCORS (CORRENCON-EN-VERCORS)",DAUPHINE,REPLIQUE,900903.48,6436663.24,45.00,5.55,5,"ASSEZ SURE"
380073,1962/06/07,"19 h 55 min 15 sec","VERCORS (CORRENCON-EN-VERCORS)",DAUPHINE,REPLIQUE,902155.98,6438555.92,45.02,5.57,5,"ASSEZ SURE"
380074,1962/07/15,"4 h 36 min 11 sec","VERCORS (MONTEYNARD)",DAUPHINE,PRECURSEUR,905024.18,6431241.43,44.95,5.60,5,"ASSEZ SURE"
310028,1962/07/27,"21 h 4 min","HAUT-COMMINGES (ANTIGNAC)","PYRENEES CENTRALES",,502173.53,6193824.41,42.82,0.58,4,"ASSEZ SURE"
640353,1962/10/23,"0 h 30 min","OSSAU (ASTE-BEON)","PYRENEES OCCIDENTALES",,417162.95,6217393.36,43.00,-0.47,4,INCERTAINE
640354,1962/10/23,"5 h 20 min","OSSAU (ASTE-BEON)","PYRENEES OCCIDENTALES",,419961.43,6219126.01,43.02,-0.43,4,INCERTAINE
640355,1962/10/23,"6 h 15 min","OSSAU (ASTE-BEON)","PYRENEES OCCIDENTALES",,421319.93,6219067.05,43.02,-0.42,4,INCERTAINE
640356,1962/10/23,"12 h 39 min","BEARN (URDOS)","PYRENEES OCCIDENTALES",,409452.30,6197329.24,42.82,-0.55,,
1130333,1963/01/31,"4 h","RIVIERA DI PONENTE (BADALUCCO)",ITALIE,,1084203.15,6321010.12,43.88,7.78,3.5,INCERTAINE
60098,1963/03/11,"10 h 28 min 15 sec","MONTAGNES DU HAUT-VAR (PUGET-THENIERS)","ALPES MARITIMES",,1010188.01,6326225.63,43.97,6.87,3,"ASSEZ SURE"
380076,1963/04/21,"21 h 30 min","VERCORS (MONTEYNARD)",DAUPHINE,PRECURSEUR,899472.06,6440321.18,45.03,5.53,,
650390,1963/04/23,"20 h 3 min","BIGORRE (GERMS-SUR-L'OUSSOUET ?)","PYRENEES CENTRALES",,458144.76,6221287.04,43.05,0.03,4,"ASSEZ SURE"
380075,1963/04/25,"13 h 36 min 11 sec","VERCORS (MONTEYNARD)",DAUPHINE,,910341.76,6429566.65,44.93,5.67,7,SURE
380077,1963/04/25,"1 h 35 min","VERCORS (MONTEYNARD)",DAUPHINE,"GROUPE DE SECOUSSES D UN ESSAIM",907775.14,6427628.39,44.92,5.63,,
380078,1963/04/25,"20 h 24 min 19 sec","VERCORS (MONTEYNARD)",DAUPHINE,REPLIQUE,910341.76,6429566.65,44.93,5.67,,
380079,1963/04/25,"23 h 58 min","VERCORS (MONTEYNARD)",DAUPHINE,REPLIQUE,910341.76,6429566.65,44.93,5.67,,
380101,1963/04/25,"23 h","VERCORS (MONTEYNARD)",DAUPHINE,REPLIQUE,911467.16,6435161.29,44.98,5.68,,
380080,1963/04/27,"5 h 28 min 20 sec","VERCORS (MONTEYNARD)",DAUPHINE,REPLIQUE,909027.60,6429522.39,44.93,5.65,7,SURE
380102,1963/04/30,"5 h 20 min","VERCORS (MONTEYNARD)",DAUPHINE,REPLIQUE,911592.95,6431461.26,44.95,5.68,,
380103,1963/05/01,"2 h 56 min 40 sec","VERCORS (MONTEYNARD)",DAUPHINE,REPLIQUE,911592.95,6431461.26,44.95,5.68,,
50076,1963/06/27,"0 h 11 min 42 sec","BRIANCONNAIS (BRIANCON)","ALPES DAUPHINOISES","GROUPE DE SECOUSSES D UN ESSAIM",986714.23,6428909.85,44.90,6.63,5,"ASSEZ SURE"
1130085,1963/07/19,"5 h 45 min 28 sec","MEDITERRANEE (S. IMPERIA)",ITALIE,PRECURSEUR,1119310.92,6256407.40,43.28,8.17,7,ARBITRAIRE
1130086,1963/07/19,"5 h 46 min 5 sec","MEDITERRANEE (S. IMPERIA)",ITALIE,,1119310.92,6256407.40,43.28,8.17,7.5,ARBITRAIRE
1130087,1963/07/19,"7 h 1 min 36 sec","MEDITERRANEE (S. IMPERIA)",ITALIE,REPLIQUE,1119310.92,6256407.40,43.28,8.17,,
1130088,1963/07/27,"5 h 58 min 52 sec","MEDITERRANEE (S. IMPERIA)",ITALIE,REPLIQUE,1119310.92,6256407.40,43.28,8.17,7.5,ARBITRAIRE
150029,1963/08/05,"5 h 3 min 51 sec","AUBRAC (FRIDEFONT, BGE.DE GRANDVAL)",AUVERGNE,,706574.40,6426018.02,44.93,3.08,5,"ASSEZ SURE"
650391,1963/08/24,"11 h 41 min 43 sec","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",,459710.54,6226791.50,43.10,0.05,3.5,INCERTAINE
1130089,1963/09/05,"11 h 44 min 39 sec","MEDITERRANEE (S. IMPERIA)",ITALIE,REPLIQUE,1056952.87,6304576.17,43.75,7.43,2,"INFORMATION ISOLÉE"
1140028,1963/09/13,"4 h 4 min 6 sec",ANDORRE,ANDORRE,,573822.94,6158654.28,42.52,1.47,4,"ASSEZ SURE"
640357,1963/09/22,"22 h 20 min","BEARN (BUZIET)","PYRENEES OCCIDENTALES",,416212.71,6226709.82,43.08,-0.48,4,"ASSEZ SURE"
50077,1963/09/27,"23 h 51 min 9 sec","QUEYRAS (RISOUL)","ALPES DAUPHINOISES",,986671.40,6401110.40,44.65,6.62,5,"ASSEZ SURE"
150032,1963/09/29,"7 h 8 min 47 sec","AUBRAC (FRIDEFONT, BGE.DE GRANDVAL)",AUVERGNE,"SECOUSSE INDIVIDUALISEE D UN ESSAIM",709190.55,6435276.89,45.02,3.12,4.5,"ASSEZ SURE"
640358,1963/10/07,"1 h 30 min","BEARN (ARETTE)","PYRENEES OCCIDENTALES",,397303.76,6229427.52,43.10,-0.72,,
640359,1963/10/11,"4 h 10 min","BEARN (EYSUS)","PYRENEES OCCIDENTALES",,408323.40,6232627.74,43.13,-0.58,,
640360,1963/10/11,"4 h 17 min","BEARN (EYSUS)","PYRENEES OCCIDENTALES",,408323.40,6232627.74,43.13,-0.58,,
40125,1963/10/22,"22 h 14 min 7 sec","PREALPES DE DIGNE (MALIJAI)","ALPES PROVENCALES",,943018.90,6332557.02,44.05,6.03,5,SURE
40126,1963/10/22,"23 h 30 min","PREALPES DE DIGNE (MALIJAI)","ALPES PROVENCALES",REPLIQUE,944282.02,6334458.92,44.07,6.05,,
40127,1963/10/23,"4 h 30 min","PREALPES DE DIGNE (MALIJAI)","ALPES PROVENCALES",REPLIQUE,944282.02,6334458.92,44.07,6.05,,
40128,1963/10/23,"8 h 10 min","PREALPES DE DIGNE (MALIJAI)","ALPES PROVENCALES",REPLIQUE,944282.02,6334458.92,44.07,6.05,,
380081,1963/10/23,"6 h 9 min 22 sec","VERCORS (MONTEYNARD)",DAUPHINE,REPLIQUE,910216.76,6433266.83,44.97,5.67,,
380082,1963/12/02,"6 h 3 min","VERCORS (MONTEYNARD)",DAUPHINE,REPLIQUE,910341.76,6429566.65,44.93,5.67,4,"ASSEZ SURE"
380083,1963/12/04,"11 h 26 min 42 sec","VERCORS (CORRENCON-EN-VERCORS)",DAUPHINE,REPLIQUE,902155.98,6438555.92,45.02,5.57,6,"ASSEZ SURE"
380084,1963/12/07,"10 h 39 min","VERCORS (CORRENCON-EN-VERCORS)",DAUPHINE,REPLIQUE,900903.48,6436663.24,45.00,5.55,6,"ASSEZ SURE"
380085,1963/12/12,"13 h 24 min 57 sec","VERCORS (CORRENCON-EN-VERCORS)",DAUPHINE,REPLIQUE,898101.25,6442129.37,45.05,5.52,6,"ASSEZ SURE"
380086,1963/12/12,"17 h 23 min 55 sec","VERCORS (MONTEYNARD)",DAUPHINE,REPLIQUE,898101.25,6442129.37,45.05,5.52,,
380087,1963/12/17,"17 h 31 min 44 sec","VERCORS (MONTEYNARD)",DAUPHINE,REPLIQUE,898101.25,6442129.37,45.05,5.52,,
380088,1963/12/20,"7 h 9 min","VERCORS (MONTEYNARD)",DAUPHINE,REPLIQUE,911530.05,6433311.34,44.97,5.68,,
380089,1963/12/26,"6 h 13 min","VERCORS (MONTEYNARD)",DAUPHINE,REPLIQUE,911467.16,6435161.29,44.98,5.68,,
150033,1964/02/25,"15 h 35 min","AUBRAC (FRIDEFONT, BGE.DE GRANDVAL)",AUVERGNE,,713133.25,6433432.85,45.00,3.17,3.5,ARBITRAIRE
1120078,1964/03/14,"2 h 37 min 22 sec","UNTERWALD (SARNEN)",SUISSE,,1100269.04,6663331.04,46.95,8.27,7,"ASSEZ SURE"
650392,1964/04/15,"19 h 35 min 40 sec","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",,467718.61,6222788.66,43.07,0.15,5,INCERTAINE
650393,1964/06/04,"16 h 54 min 21 sec","BIGORRE (GAZOST)","PYRENEES CENTRALES",,,,,,4,INCERTAINE
1130334,1964/06/29,"4 h 42 min 28 sec","PIEMONT (BIBIANA)",ITALIE,,1041700.77,6411291.53,44.72,7.32,5,"ASSEZ SURE"
730180,1964/07/21,"2 h 41 min 25 sec","LAC DU BOURGET (VIVIERS-DU-LAC)","ALPES SAVOYARDES",,925748.29,6511602.93,45.67,5.90,,
380090,1964/08/13,"5 h 18 min 41 sec","BELLEDONNE (VIZILLE)",DAUPHINE,,916461.12,6442741.88,45.05,5.75,4,INCERTAINE
650394,1964/08/29,"2 h 45 min 25 sec","LAVEDAN (LUZ-SAINT-SAUVEUR)","PYRENEES CENTRALES",,458603.01,6197160.08,42.83,0.05,5.5,"ASSEZ SURE"
150034,1964/09/05,"7 h 24 min 39 sec","AUBRAC (FRIDEFONT, BGE.DE GRANDVAL)",AUVERGNE,,706568.54,6431571.33,44.98,3.08,4,"ASSEZ SURE"
740091,1964/09/18,"5 h 49 min","CHABLAIS (SAMOENS)","ALPES SAVOYARDES",,988476.11,6558698.08,46.07,6.73,3.5,INCERTAINE
560037,1964/09/21,"19 h 22 min 47 sec","PLATEAUX BRETONS (BILLIO-CRUGUEL)",BRETAGNE,,281654.47,6766648.76,47.87,-2.60,4,"ASSEZ SURE"
650395,1964/09/24,"17 h 40 min","BIGORRE (LOURDES)","PYRENEES CENTRALES",,451569.12,6227100.97,43.10,-0.05,4,"INFORMATION ISOLÉE"
380091,1964/10/05,"15 h 15 min 51 sec","VERCORS (LANS-EN-VERCORS)",DAUPHINE,,905786.01,6447935.32,45.10,5.62,,
380092,1964/11/01,"4 h 57 min","VERCORS (MONTEYNARD)",DAUPHINE,,911467.16,6435161.29,44.98,5.68,,
880033,1964/12/15,"5 h 34 min 10 sec","HAUTES-VOSGES (ST-AME)",VOSGES,,973188.31,6776671.73,48.03,6.67,4,"ASSEZ SURE"
880044,1964/12/15,"5 h 26 min 46 sec","HAUTES-VOSGES (ST-AME)",VOSGES,PRECURSEUR,973188.31,6776671.73,48.03,6.67,,
880045,1964/12/15,"6 h 3 min 44 sec","HAUTES-VOSGES (ST-AME)",VOSGES,REPLIQUE,973188.31,6776671.73,48.03,6.67,,
880046,1964/12/15,"7 h 25 min 24 sec","HAUTES-VOSGES (ST-AME)",VOSGES,REPLIQUE,966899.73,6778236.91,48.05,6.58,,
230029,1965/02/03,"20 h 35 min 24 sec","HAUTE-MARCHE (LA SOUTERRAINE ?)",LIMOUSIN,,583125.56,6571508.16,46.23,1.48,3,"INFORMATION ISOLÉE"
230030,1965/02/04,"8 h 30 min 51 sec","HAUTE-MARCHE (LA SOUTERRAINE ?)",LIMOUSIN,,583125.56,6571508.16,46.23,1.48,,"INFORMATION ISOLÉE"
380093,1965/02/22,"9 h 15 min 22 sec","BAS-PLATEAUX DAUPHINOIS (ST-GEOIRS)",DAUPHINE,,888020.61,6471445.78,45.32,5.40,4,"ASSEZ SURE"
490073,1965/03/04,"0 h 47 min 13 sec","CRAONNAIS ET SEGREEN (LE LION-D'ANGERS)",ANJOU,,421259.32,6737999.51,47.68,-0.72,5.5,SURE
60099,1965/03/13,"20 h 22 min 48 sec","ALPES NICOISES (VALDEBLORE)","ALPES MARITIMES",,1034980.03,6338616.01,44.07,7.18,5,"ASSEZ SURE"
630072,1965/04/04,"4 h 39 min 14 sec","MONTS-DORE (CHAMBON-SUR-LAC)",AUVERGNE,,688299.65,6496362.92,45.57,2.85,,
640361,1965/04/13,"16 h","BEARN (OLORON-SAINTE-MARIE)","PYRENEES OCCIDENTALES",,405951.33,6240155.47,43.20,-0.62,4,"INFORMATION ISOLÉE"
380094,1965/05/02,"12 h 25 min 43 sec","VERCORS (MONTEYNARD)",DAUPHINE,,912843.42,6433356.12,44.97,5.70,,
680087,1965/05/13,"2 h 12 min 8 sec","PLAINE DE HAUTE-ALSACE (FESSENHEIM)",ALSACE,,1038439.74,6767081.58,47.92,7.53,3,"INFORMATION ISOLÉE"
40129,1965/09/11,"10 h 43 min 30 sec","UBAYE (BARCELONNETTE)","ALPES PROVENCALES",,993246.76,6373614.02,44.40,6.68,,
30024,1965/09/17,"0 h 31 min 2 sec","BOCAGE BOURBONNAIS (AINAY-LE-CHÃ‚TEAU)",BOURBONNAIS,,677084.55,6624106.12,46.72,2.70,2,"INFORMATION ISOLÉE"
1110021,1965/09/19,"8 h 10 min 44 sec","FORET NOIRE (ST-BLASIEN)",ALLEMAGNE,,1083895.65,6758735.36,47.82,8.13,6,INCERTAINE
730181,1965/10/03,"22 h 20 min 14 sec","ALBANAIS (ST-GERMAIN-LA-CHAMBOTTE)","ALPES SAVOYARDES",,925272.57,6524550.08,45.78,5.90,2.5,"INFORMATION ISOLÉE"
1130090,1965/10/31,"10 h 4 min 14 sec","PIEMONT (PIGNA)",ITALIE,,1071625.99,6329535.60,43.97,7.63,3,INCERTAINE
560038,1965/11/08,"18 h 44 min 18 sec","PLATEAUX BRETONS (PLOERMEL)",BRETAGNE,,297204.40,6774846.02,47.95,-2.40,5,INCERTAINE
